"No","Nama Program","IPTA","Kod Program","Tahun","Purata Merit","Tags","Syarat Am","Syarat Khas","Info"
"88","DIPLOMA IN MARKETING + CERTIFIED PROFESSIONAL MARKETER (ASIA) CERTIFICATION","Mara, Bahagian Pendidikan Tinggi","OP4342001","2026","80.47%","Bumiputera","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Calon mestilah memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya lulus dalam mata pelajaran Bahasa Melayu DAN Sejarah.","Mendapat sekurang-kurangnya Gred B dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred B dalam mata pelajaran Matematik. Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Sejarah. Mendapat sekurang-kurangnya Gred C dalam mana-mana DUA (2) mata pelajaran selain diatas Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja.","Peringkat Pengajian : Diploma Mod Pengajian : Konvensional Tempoh Pengajian : 08 Semester Bidang NEC : 0415 Pemasaran Dan Pengiklanan Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 80.47% Catatan: Tidak Berkenaan"
"89","DIPLOMA IN MECHANICAL DESIGN TECHNOLOGY","Kolej Komuniti","FC4521001","2026","66.06%","STEM, TVET","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred E bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. TIGA (3) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Sejarah. Mendapat sekurang-kurangnya Gred C dalam mana-mana TIGA (3) mata pelajaran","Peringkat Pengajian : Diploma Mod Pengajian : Konvensional Tempoh Pengajian : 06 Semester Bidang NEC : 0714 Mekanik Dan Tred Logam Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 66.06% Catatan: Tidak Berkenaan"
"90","DIPLOMA IN RAIL SIGNALLING AND COMMUNICATION TECHNOLOGY","#","FC4523003","2026","45.48%","STEM, TVET","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred E bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. TIGA (3) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Sejarah. Mendapat sekurang-kurangnya Gred C dalam mana-mana TIGA (3) mata pelajaran Lulus ujian dan / atau temu duga yang ditetapkan.","Peringkat Pengajian : Diploma Mod Pengajian : Konvensional Tempoh Pengajian : 06 Semester Bidang NEC : 0713 Elektronik Dan Automasi Bertemu duga / Ujian: Ya Joint / Dual / Double Degree : Tidak Purata Markah Merit: 45.48% Catatan: Tidak Berkenaan"
"91","DIPLOMA IN RETAIL OPERATIONS MANAGEMENT","Politeknik","FB4345002","2026","65.26%","TVET","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred E bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. TIGA (3) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Sejarah. Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Matematik. Mendapat sekurang-kurangnya Gred C dalam mana-mana TIGA (3) mata pelajaran","Peringkat Pengajian : Diploma Mod Pengajian : Konvensional Tempoh Pengajian : 05 Semester Bidang NEC : 0414 Pengurusan Dan Pentadbiran Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 65.26% Catatan: Tidak Berkenaan"
"92","DIPLOMA IN SOUND & LIGHTING TECHNOLOGY","Kolej Komuniti","FC4523001","2026","62.72%","STEM, TVET","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred E bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. TIGA (3) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Sejarah. Mendapat sekurang-kurangnya Gred C dalam mana-mana TIGA (3) mata pelajaran","Peringkat Pengajian : Diploma Mod Pengajian : Konvensional Tempoh Pengajian : 06 Semester Bidang NEC : 0713 Elektronik Dan Automasi Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 62.72% Catatan: Tidak Berkenaan"
"93","DIPLOMA INFORMATIK PERPUSTAKAAN","Universiti Teknologi Mara","UE4322003","2026","71.99%","Bumiputera","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. DUA (2) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred E dalam SATU (1) mata pelajaran berikut : • Matematik / Matematik Tambahan Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja.","Peringkat Pengajian : Diploma Mod Pengajian : Konvensional Tempoh Pengajian : 05 Semester Bidang NEC : 0322 Pengajian Arkib, Maklumat Dan Perpustakaan Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 71.99% Catatan: Tidak Berkenaan"
"94","DIPLOMA INSURANS","Politeknik","FB4343001","2026","59.09%","TVET","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred E bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. TIGA (3) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Sejarah. Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Matematik. Mendapat sekurang-kurangnya Gred C dalam mana-mana DUA (2) mata pelajaran","Peringkat Pengajian : Diploma Mod Pengajian : Konvensional Tempoh Pengajian : 06 Semester Bidang NEC : 0412 Kewangan, Perbankan Dan Insurans Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 59.09% Catatan: Tidak Berkenaan"
"95","DIPLOMA KECERGASAN PERTAHANAN","#","UZ4813001","2026","53.35%","STEM","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. DUA (2) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred C dalam mana-mana DUA (2) mata pelajaran yang belum diambil kira Lulus ujian dan / atau temu duga yang ditetapkan.","Peringkat Pengajian : Diploma Mod Pengajian : Konvensional Tempoh Pengajian : 05 Semester Bidang NEC : 1014 Sukan Bertemu duga / Ujian: Ya Joint / Dual / Double Degree : Tidak Purata Markah Merit: 53.35% Catatan: 1. Syarat-syarat lain yang ditetapkan oleh Senat dari semasa ke semasa."
"96","DIPLOMA KEJURURAWATAN","Universiti Teknologi Mara","UE4723001","2026","84.72%","STEM, Bumiputera","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. DUA (2) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred C dalam DUA (2) mata pelajaran berikut : • Matematik / Matematik Tambahan • Biologi / Fizik / Kimia / Sains Mendapat sekurang-kurangnya Gred C dalam mana-mana SATU (1) mata pelajaran selain diatas Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja.","Peringkat Pengajian : Diploma Mod Pengajian : Konvensional Tempoh Pengajian : 06 Semester Bidang NEC : 0912 Perubatan Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 84.72% Catatan: Calon boleh melaksanakan kerja-kerja klinikal."
"97","DIPLOMA KEJURUTERAAN ALAM SEKITAR","Politeknik","FB4526004","2026","63.12%","STEM, TVET","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred E bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. TIGA (3) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Sejarah. Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Matematik. Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Sains / Matematik Tambahan / Fizik / Kimia / Biologi / Sains Tambahan / Pengajian Kejuruteraan Awam / Pengajian Kejuruteraan Mekanikal / Pengajian Kejuruteraan Elektrik & Elektronik / Lukisan Kejuruteraan / Sains Komputer / Grafik Komunikasi Teknikal / Reka Bentuk Grafik Digital / Pembinaan Domestik / Kerja Paip Domestik / Pendawaian Domestik / Kimpalan Arka Dan Gas / Menservis Automobil / Menservis Motosikal / Menservis Peralatan Penyejukan & Penyamanan Udara / Menservis Peralatan Elektrik Domestik / Pembuatan Perabot / Produksi Reka Tanda / Hiasan Dalaman / Seni Halus 2d / Reka Bentuk Grafik / Reka Bentuk Kraf / Seni Halus 3d / Reka Bentuk Industri / Lukisan / Reka Cipta / Pendidikan Seni Visual / Pertanian / Akuakultur & Haiwan Rekreasi / Produksi Multimedia / Tanaman Makanan / Sains Sukan / Multimedia Kreatif Mendapat sekurang-kurangnya Gred C dalam mana-mana SATU (1) mata pelajaran","Peringkat Pengajian : Diploma Mod Pengajian : Konvensional Tempoh Pengajian : 06 Semester Bidang NEC : 0717 Teknologi Perlindungan Alam Sekitar Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 63.12% Catatan: Tidak Berkenaan"
"98","DIPLOMA KEJURUTERAAN ALAM SEKITAR","Baru","UR4851001","2026","N/A","STEM, TVET","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. DUA (2) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Matematik. Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Fizik / Kimia / Biologi / Pengajian Kejuruteraan Mekanikal / Pengajian Kejuruteraan Awam / Pengajian Kejuruteraan Elektrik & Elektronik / Asas Kelestarian / Lukisan Kejuruteraan / Grafik Komunikasi Teknikal / Reka Cipta / Sains / Sains Tambahan / Matematik Tambahan Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Inggeris.","Peringkat Pengajian : Diploma Mod Pengajian : Konvensional Tempoh Pengajian : 05 Semester Bidang NEC : 0717 Teknologi Perlindungan Alam Sekitar Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: Tiada (Program Baru) Catatan: Tidak Berkenaan"
"99","DIPLOMA KEJURUTERAAN AWAM","Politeknik","FB4526001","2026","58.79%","STEM, TVET","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred E bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. TIGA (3) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Sejarah. Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Matematik. Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Sains / Matematik Tambahan / Fizik / Kimia / Biologi / Sains Tambahan / Pengajian Kejuruteraan Awam / Pengajian Kejuruteraan Mekanikal / Pengajian Kejuruteraan Elektrik & Elektronik / Lukisan Kejuruteraan / Sains Komputer / Grafik Komunikasi Teknikal / Reka Bentuk Grafik Digital / Pembinaan Domestik / Kerja Paip Domestik / Pendawaian Domestik / Kimpalan Arka Dan Gas / Menservis Automobil / Menservis Motosikal / Menservis Peralatan Penyejukan & Penyamanan Udara / Menservis Peralatan Elektrik Domestik / Pembuatan Perabot / Produksi Reka Tanda / Hiasan Dalaman / Seni Halus 2d / Reka Bentuk Grafik / Reka Bentuk Kraf / Seni Halus 3d / Reka Bentuk Industri / Lukisan / Reka Cipta / Pendidikan Seni Visual / Pertanian / Akuakultur & Haiwan Rekreasi / Produksi Multimedia / Tanaman Makanan / Sains Sukan / Multimedia Kreatif Mendapat sekurang-kurangnya Gred C dalam mana-mana SATU (1) mata pelajaran","Peringkat Pengajian : Diploma Mod Pengajian : Konvensional Tempoh Pengajian : 06 Semester Bidang NEC : 0716 Kejuruteraan Awam Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 58.79% Catatan: Tidak Berkenaan"
"100","DIPLOMA KEJURUTERAAN AWAM","Universiti Tun Hussein Onn Malaysia","UB4526001","2026","78.07%","STEM, TVET","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. DUA (2) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred C dalam DUA (2) mata pelajaran berikut : • Matematik • Fizik / Kimia / Biologi / Matematik Tambahan / Pengajian Kejuruteraan Elektrik & Elektronik / Pengajian Kejuruteraan Mekanikal / Pengajian Kejuruteraan Awam / Lukisan Kejuruteraan ATAU Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Matematik Mendapat sekurang-kurangnya Gred B dalam DUA (2) mata pelajaran berikut : • Sains • Sains Tambahan / Pertanian / Sains Sukan / Grafik Komunikasi Teknikal / Asas Kelestarian / Reka Cipta / Sains Komputer / Pembinaan Domestik / Kerja Paip Domestik","Peringkat Pengajian : Diploma Mod Pengajian : Konvensional Tempoh Pengajian : 05 Semester Bidang NEC : 0716 Kejuruteraan Awam Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 78.07% Catatan: Calon yang gagal atau tidak mengambil mata pelajaran Matematik Tambahan peringkat SPM perlu mengikuti dan lulus kursus pengukuhan Matematik pada tahun pertama pengajian."
"101","DIPLOMA KEJURUTERAAN AWAM","Universiti Teknologi Mara","UE4526003","2026","68.13%","STEM, Bumiputera","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. DUA (2) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Matematik. Mendapat sekurang-kurangnya Gred D dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred D dalam mata pelajaran Matematik Tambahan. Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Sains Komputer / Biologi / Pengajian Kejuruteraan Awam / Sains / Kimia / Reka Cipta / Pengajian Kejuruteraan Mekanikal / Asas Kelestarian / Lukisan Kejuruteraan / Sains Sukan / Fizik / Pertanian / Pengajian Kejuruteraan Elektrik & Elektronik / Sains Tambahan / Grafik Komunikasi Teknikal Mendapat sekurang-kurangnya Gred D dalam DUA (2) mata pelajaran berikut : • Geografi / Prinsip Perakaunan / Ekonomi / Perniagaan / Pengajian Keusahawanan / Pendidikan Seni Visual • Asas Kelestarian • Biologi • Fizik • Kimia • Grafik Komunikasi Teknikal • Lukisan Kejuruteraan • Pengajian Kejuruteraan Awam • Pengajian Kejuruteraan Elektrik & Elektronik • Pengajian Kejuruteraan Mekanikal • Pertanian • Reka Cipta • Sains Komputer • Sains Sukan • Sains Tambahan • Sains Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja.","Peringkat Pengajian : Diploma Mod Pengajian : Konvensional Tempoh Pengajian : 06 Semester Bidang NEC : 0716 Kejuruteraan Awam Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 68.13% Catatan: BAGI PILIHAN MATA PELAJARAN PADA SYARAT NO (5), MESTILAH MATA PELAJARAN YANG BELUM DIAMBIL KIRA PADA SYARAT NO (4)."
"102","DIPLOMA KEJURUTERAAN AWAM","Universiti Malaysia Pahang Al-Sultan Abdullah","UJ4526001","2026","72.71%","STEM, TVET","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. DUA (2) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Matematik. Mendapat sekurang-kurangnya Gred C dalam DUA (2) mata pelajaran berikut : • Reka Cipta / Sains Tambahan / Sains Komputer / Lukisan Kejuruteraan / Pengajian Kejuruteraan Mekanikal / Kimia / Fizik / Sains / Pengajian Kejuruteraan Elektrik & Elektronik / Asas Kelestarian / Pertanian / Biologi / Grafik Komunikasi Teknikal / Pengajian Kejuruteraan Awam Mendapat sekurang-kurangnya Gred E dalam DUA (2) mata pelajaran berikut : • Matematik Tambahan • Bahasa Inggeris ATAU Mendapat sekurang-kurangnya Gred E dalam SATU (1) mata pelajaran berikut : • Matematik Mendapat sekurang-kurangnya Gred C dalam TIGA (3) mata pelajaran berikut : • Reka Cipta / Sains Tambahan / Sains Komputer / Lukisan Kejuruteraan / Pengajian Kejuruteraan Mekanikal / Kimia / Fizik / Sains / Pengajian Kejuruteraan Elektrik & Elektronik / Asas Kelestarian / Pertanian / Biologi / Grafik Komunikasi Teknikal / Pengajian Kejuruteraan Awam Mendapat sekurang-kurangnya Gred E dalam DUA (2) mata pelajaran berikut : • Matematik Tambahan • Bahasa Inggeris","Peringkat Pengajian : Diploma Mod Pengajian : Konvensional Tempoh Pengajian : 05 Semester Bidang NEC : 0716 Kejuruteraan Awam Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 72.71% Catatan: Tempoh Pengajian 5 Semester + 1 Semester Pendek CATATAN: Calon yang LULUS (GRED D ATAU GRED E) bagi matapelajaran Matematik peringkat SPM diwajibkan mengambil dan lulus kursus matematik khas pada semester pertama pengajian peringkat diploma"
"103","DIPLOMA KEJURUTERAAN BAHAN","Universiti Malaysia Perlis","UR4521002","2026","62.67%","STEM, TVET","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. DUA (2) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Matematik. Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Fizik / Kimia / Biologi / Pengajian Kejuruteraan Mekanikal / Pengajian Kejuruteraan Awam / Pengajian Kejuruteraan Elektrik & Elektronik / Asas Kelestarian / Lukisan Kejuruteraan / Grafik Komunikasi Teknikal / Reka Cipta / Sains / Sains Tambahan / Sains Komputer / Kimpalan Arka Dan Gas Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Inggeris.","Peringkat Pengajian : Diploma Mod Pengajian : Konvensional Tempoh Pengajian : 06 Semester Bidang NEC : 0714 Mekanik Dan Tred Logam Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 62.67% Catatan: Tidak Berkenaan"
"104","DIPLOMA KEJURUTERAAN ELEKTRIK","Politeknik","FB4522002","2026","57.02%","STEM, TVET","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred E bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. TIGA (3) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Sejarah. Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Matematik. Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Sains / Matematik Tambahan / Fizik / Kimia / Biologi / Sains Tambahan / Pengajian Kejuruteraan Awam / Pengajian Kejuruteraan Mekanikal / Pengajian Kejuruteraan Elektrik & Elektronik / Lukisan Kejuruteraan / Sains Komputer / Grafik Komunikasi Teknikal / Reka Bentuk Grafik Digital / Pembinaan Domestik / Kerja Paip Domestik / Pendawaian Domestik / Kimpalan Arka Dan Gas / Menservis Automobil / Menservis Motosikal / Menservis Peralatan Penyejukan & Penyamanan Udara / Menservis Peralatan Elektrik Domestik / Pembuatan Perabot / Produksi Reka Tanda / Hiasan Dalaman / Seni Halus 2d / Reka Bentuk Grafik / Reka Bentuk Kraf / Seni Halus 3d / Reka Bentuk Industri / Lukisan / Reka Cipta / Pendidikan Seni Visual / Pertanian / Akuakultur & Haiwan Rekreasi / Produksi Multimedia / Tanaman Makanan / Sains Sukan / Multimedia Kreatif Mendapat sekurang-kurangnya Gred C dalam mana-mana SATU (1) mata pelajaran","Peringkat Pengajian : Diploma Mod Pengajian : Konvensional Tempoh Pengajian : 06 Semester Bidang NEC : 0712 Kuasa Elektrik Dan Tenaga Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 57.02% Catatan: Tidak Berkenaan"
"105","DIPLOMA KEJURUTERAAN ELEKTRIK","Universiti Tun Hussein Onn Malaysia","UB4522001","2026","77.73%","STEM, TVET","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. DUA (2) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred C dalam DUA (2) mata pelajaran berikut : • Matematik • Fizik / Kimia / Biologi / Matematik Tambahan / Pengajian Kejuruteraan Elektrik & Elektronik / Pengajian Kejuruteraan Mekanikal / Pengajian Kejuruteraan Awam / Lukisan Kejuruteraan ATAU Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Matematik Mendapat sekurang-kurangnya Gred B dalam DUA (2) mata pelajaran berikut : • Sains • Sains Tambahan / Pertanian / Sains Sukan / Grafik Komunikasi Teknikal / Asas Kelestarian / Reka Cipta / Sains Komputer / Pendawaian Domestik / Menservis Peralatan Elektrik Domestik","Peringkat Pengajian : Diploma Mod Pengajian : Konvensional Tempoh Pengajian : 05 Semester Bidang NEC : 0712 Kuasa Elektrik Dan Tenaga Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 77.73% Catatan: Calon yang gagal atau tidak mengambil mata pelajaran Matematik Tambahan peringkat SPM perlu mengikuti dan lulus kursus pengukuhan Matematik pada tahun pertama pengajian."
"106","DIPLOMA KEJURUTERAAN ELEKTRIK","Universiti Teknikal Malaysia Melaka","UC4522001","2026","75.09%","STEM, TVET","Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. DUA (2) C dalam mana-mana matapelajaran yang belum dikira.","Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Matematik. Mendapat sekurang-kurangnya Gred C dalam DUA (2) mata pelajaran berikut : • Fizik • Kimia • Biologi • Sains • Sains Tambahan • Asas Kelestarian • Pengajian Kejuruteraan Mekanikal / Pengajian Kejuruteraan Elektrik & Elektronik / Pengajian Kejuruteraan Awam • Lukisan Kejuruteraan • Reka Cipta • Sains Komputer • Grafik Komunikasi Teknikal Mendapat sekurang-kurangnya Gred E dalam SATU (1) mata pelajaran berikut : • Matematik Tambahan Mendapat sekurang-kurangnya Gred E dalam SATU (1) mata pelajaran berikut : • Bahasa Inggeris","Peringkat Pengajian : Diploma Mod Pengajian : Konvensional Tempoh Pengajian : 06 Semester Bidang NEC : 0712 Kuasa Elektrik Dan Tenaga Bertemu duga / Ujian: Tidak Joint / Dual / Double Degree : Tidak Purata Markah Merit: 75.09% Catatan: Tidak Berkenaan"
