No,Nama_Program,IPTA,Kod_Program,Tahun,Merit,Is_Feeder,Is_STEM,Bumiputera_Sahaja,Pakej_Min,Peringkat_Pengajian,Mod_Pengajian,Tempoh_Pengajian,Bidang_NEC,Bertemu_Duga,Joint_Degree,Catatan,Req_BM,Req_BI,Req_Sejarah,Req_Math,Req_AddMath,Req_Fizik,Req_Kimia,Req_Bio,Req_Sains,Req_PI,Req_BahasaArab,Pilihan_1_Gred,Pilihan_1_Bil,Pilihan_1_Subjek,Pilihan_2_Gred,Pilihan_2_Bil,Pilihan_2_Subjek,Pilihan_3_Gred,Pilihan_3_Bil,Pilihan_3_Subjek,Pilihan_4_Gred,Pilihan_4_Bil,Pilihan_4_Subjek,Pilihan_5_Gred,Pilihan_5_Bil,Pilihan_5_Subjek,Pilihan_6_Gred,Pilihan_6_Bil,Pilihan_6_Subjek,Pilihan_7_Gred,Pilihan_7_Bil,Pilihan_7_Subjek,Pilihan_8_Gred,Pilihan_8_Bil,Pilihan_8_Subjek,Lain_Gred,Lain_Bil,Has_ATAU,ATAU_JSON,Syarat_Am,Syarat_Khas
101,DIPLOMA KEJURUTERAAN AWAM,Universiti Teknologi Mara,UE4526003,2026,68.13,Tidak,Ya,Ya,"STEM A, B atau C",Diploma,Konvensional,06 Semester,0716 Kejuruteraan Awam,Tidak,Tidak,"BAGI PILIHAN MATA PELAJARAN PADA SYARAT NO (5), MESTILAH MATA PELAJARAN YANG BELUM DIAMBIL KIRA PADA SYARAT NO (4).",,D,,C,D,,,,,,,C,1,Sains Komputer|Biologi|Pengajian Kejuruteraan Awam|Sains|Kimia|Reka Cipta|Pengajian Kejuruteraan Mekanikal|Asas Kelestarian|Lukisan Kejuruteraan|Sains Sukan|Fizik|Pertanian|Pengajian Kejuruteraan Elektrik & Elektronik|Sains Tambahan|Grafik Komunikasi Teknikal,D,2,Geografi|Prinsip Perakaunan|Ekonomi|Perniagaan|Pengajian Keusahawanan|Pendidikan Seni Visual|Asas Kelestarian|Biologi|Fizik|Kimia|Grafik Komunikasi Teknikal|Lukisan Kejuruteraan|Pengajian Kejuruteraan Awam|Pengajian Kejuruteraan Elektrik & Elektronik|Pengajian Kejuruteraan Mekanikal|Pertanian|Reka Cipta|Sains Komputer|Sains Sukan|Sains Tambahan|Sains,,,,,,,,,,,,,,,,,,,,,Tidak,,Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. DUA (2) C dalam mana-mana matapelajaran yang belum dikira.,"Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Matematik. Mendapat sekurang-kurangnya Gred D dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred D dalam mata pelajaran Matematik Tambahan. Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Sains Komputer / Biologi / Pengajian Kejuruteraan Awam / Sains / Kimia / Reka Cipta / Pengajian Kejuruteraan Mekanikal / Asas Kelestarian / Lukisan Kejuruteraan / Sains Sukan / Fizik / Pertanian / Pengajian Kejuruteraan Elektrik & Elektronik / Sains Tambahan / Grafik Komunikasi Teknikal Mendapat sekurang-kurangnya Gred D dalam DUA (2) mata pelajaran berikut : • Geografi / Prinsip Perakaunan / Ekonomi / Perniagaan / Pengajian Keusahawanan / Pendidikan Seni Visual • Asas Kelestarian • Biologi • Fizik • Kimia • Grafik Komunikasi Teknikal • Lukisan Kejuruteraan • Pengajian Kejuruteraan Awam • Pengajian Kejuruteraan Elektrik & Elektronik • Pengajian Kejuruteraan Mekanikal • Pertanian • Reka Cipta • Sains Komputer • Sains Sukan • Sains Tambahan • Sains Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja."
102,DIPLOMA KEJURUTERAAN AWAM,Universiti Malaysia Pahang Al-Sultan Abdullah,UJ4526001,2026,72.71,Tidak,Ya,Tidak,STEM A,Diploma,Konvensional,05 Semester,0716 Kejuruteraan Awam,Tidak,Tidak,Tempoh Pengajian 5 Semester + 1 Semester Pendek CATATAN: Calon yang LULUS (GRED D ATAU GRED E) bagi matapelajaran Matematik peringkat SPM diwajibkan mengambil dan lulus kursus matematik khas pada semester pertama pengajian peringkat diploma,,,,C,,,,,,,,C,2,Reka Cipta|Sains Tambahan|Sains Komputer|Lukisan Kejuruteraan|Pengajian Kejuruteraan Mekanikal|Kimia|Fizik|Sains|Pengajian Kejuruteraan Elektrik & Elektronik|Asas Kelestarian|Pertanian|Biologi|Grafik Komunikasi Teknikal|Pengajian Kejuruteraan Awam,E,2,Matematik Tambahan|Bahasa Inggeris,E,1,Matematik,C,3,Reka Cipta|Sains Tambahan|Sains Komputer|Lukisan Kejuruteraan|Pengajian Kejuruteraan Mekanikal|Kimia|Fizik|Sains|Pengajian Kejuruteraan Elektrik & Elektronik|Asas Kelestarian|Pertanian|Biologi|Grafik Komunikasi Teknikal|Pengajian Kejuruteraan Awam,E,2,Matematik Tambahan|Bahasa Inggeris,,,,,,,,,,,,Ya,,Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. DUA (2) C dalam mana-mana matapelajaran yang belum dikira.,Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Matematik. Mendapat sekurang-kurangnya Gred C dalam DUA (2) mata pelajaran berikut : • Reka Cipta / Sains Tambahan / Sains Komputer / Lukisan Kejuruteraan / Pengajian Kejuruteraan Mekanikal / Kimia / Fizik / Sains / Pengajian Kejuruteraan Elektrik & Elektronik / Asas Kelestarian / Pertanian / Biologi / Grafik Komunikasi Teknikal / Pengajian Kejuruteraan Awam Mendapat sekurang-kurangnya Gred E dalam DUA (2) mata pelajaran berikut : • Matematik Tambahan • Bahasa Inggeris ATAU Mendapat sekurang-kurangnya Gred E dalam SATU (1) mata pelajaran berikut : • Matematik Mendapat sekurang-kurangnya Gred C dalam TIGA (3) mata pelajaran berikut : • Reka Cipta / Sains Tambahan / Sains Komputer / Lukisan Kejuruteraan / Pengajian Kejuruteraan Mekanikal / Kimia / Fizik / Sains / Pengajian Kejuruteraan Elektrik & Elektronik / Asas Kelestarian / Pertanian / Biologi / Grafik Komunikasi Teknikal / Pengajian Kejuruteraan Awam Mendapat sekurang-kurangnya Gred E dalam DUA (2) mata pelajaran berikut : • Matematik Tambahan • Bahasa Inggeris
103,DIPLOMA KEJURUTERAAN BAHAN,Universiti Malaysia Perlis,UR4521002,2026,62.67,Tidak,Ya,Tidak,Semua Pakej,Diploma,Konvensional,06 Semester,0714 Mekanik Dan Tred Logam,Tidak,Tidak,Tidak Berkenaan,,E,,C,,,,,,,,C,1,Fizik|Kimia|Biologi|Pengajian Kejuruteraan Mekanikal|Pengajian Kejuruteraan Awam|Pengajian Kejuruteraan Elektrik & Elektronik|Asas Kelestarian|Lukisan Kejuruteraan|Grafik Komunikasi Teknikal|Reka Cipta|Sains|Sains Tambahan|Sains Komputer|Kimpalan Arka Dan Gas,,,,,,,,,,,,,,,,,,,,,,,,Tidak,,Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. DUA (2) C dalam mana-mana matapelajaran yang belum dikira.,Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Matematik. Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Fizik / Kimia / Biologi / Pengajian Kejuruteraan Mekanikal / Pengajian Kejuruteraan Awam / Pengajian Kejuruteraan Elektrik & Elektronik / Asas Kelestarian / Lukisan Kejuruteraan / Grafik Komunikasi Teknikal / Reka Cipta / Sains / Sains Tambahan / Sains Komputer / Kimpalan Arka Dan Gas Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Inggeris.
104,DIPLOMA KEJURUTERAAN ELEKTRIK,Politeknik,FB4522002,2026,57.02,Tidak,Ya,Tidak,Semua Pakej,Diploma,Konvensional,06 Semester,0712 Kuasa Elektrik Dan Tenaga,Tidak,Tidak,Tidak Berkenaan,E,E,E,C,,,,,,,,C,1,Sains|Matematik Tambahan|Fizik|Kimia|Biologi|Sains Tambahan|Pengajian Kejuruteraan Awam|Pengajian Kejuruteraan Mekanikal|Pengajian Kejuruteraan Elektrik & Elektronik|Lukisan Kejuruteraan|Sains Komputer|Grafik Komunikasi Teknikal|Reka Bentuk Grafik Digital|Pembinaan Domestik|Kerja Paip Domestik|Pendawaian Domestik|Kimpalan Arka Dan Gas|Menservis Automobil|Menservis Motosikal|Menservis Peralatan Penyejukan & Penyamanan Udara|Menservis Peralatan Elektrik Domestik|Pembuatan Perabot|Produksi Reka Tanda|Hiasan Dalaman|Seni Halus 2d|Reka Bentuk Grafik|Reka Bentuk Kraf|Seni Halus 3d|Reka Bentuk Industri|Lukisan|Reka Cipta|Pendidikan Seni Visual|Pertanian|Akuakultur & Haiwan Rekreasi|Produksi Multimedia|Tanaman Makanan|Sains Sukan|Multimedia Kreatif,,,,,,,,,,,,,,,,,,,,,,,,Tidak,,Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred E bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. TIGA (3) C dalam mana-mana matapelajaran yang belum dikira.,Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Sejarah. Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Matematik. Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Sains / Matematik Tambahan / Fizik / Kimia / Biologi / Sains Tambahan / Pengajian Kejuruteraan Awam / Pengajian Kejuruteraan Mekanikal / Pengajian Kejuruteraan Elektrik & Elektronik / Lukisan Kejuruteraan / Sains Komputer / Grafik Komunikasi Teknikal / Reka Bentuk Grafik Digital / Pembinaan Domestik / Kerja Paip Domestik / Pendawaian Domestik / Kimpalan Arka Dan Gas / Menservis Automobil / Menservis Motosikal / Menservis Peralatan Penyejukan & Penyamanan Udara / Menservis Peralatan Elektrik Domestik / Pembuatan Perabot / Produksi Reka Tanda / Hiasan Dalaman / Seni Halus 2d / Reka Bentuk Grafik / Reka Bentuk Kraf / Seni Halus 3d / Reka Bentuk Industri / Lukisan / Reka Cipta / Pendidikan Seni Visual / Pertanian / Akuakultur & Haiwan Rekreasi / Produksi Multimedia / Tanaman Makanan / Sains Sukan / Multimedia Kreatif Mendapat sekurang-kurangnya Gred C dalam mana-mana SATU (1) mata pelajaran
105,DIPLOMA KEJURUTERAAN ELEKTRIK,Universiti Tun Hussein Onn Malaysia,UB4522001,2026,77.73,Tidak,Ya,Tidak,"STEM A, B atau C",Diploma,Konvensional,05 Semester,0712 Kuasa Elektrik Dan Tenaga,Tidak,Tidak,Calon yang gagal atau tidak mengambil mata pelajaran Matematik Tambahan peringkat SPM perlu mengikuti dan lulus kursus pengukuhan Matematik pada tahun pertama pengajian.,,E,,,,,,,,,,C,2,Matematik|Fizik|Kimia|Biologi|Matematik Tambahan|Pengajian Kejuruteraan Elektrik & Elektronik|Pengajian Kejuruteraan Mekanikal|Pengajian Kejuruteraan Awam|Lukisan Kejuruteraan,C,1,Matematik,B,2,Sains|Sains Tambahan|Pertanian|Sains Sukan|Grafik Komunikasi Teknikal|Asas Kelestarian|Reka Cipta|Sains Komputer|Pendawaian Domestik|Menservis Peralatan Elektrik Domestik,,,,,,,,,,,,,,,,,,Ya,,Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. DUA (2) C dalam mana-mana matapelajaran yang belum dikira.,Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred C dalam DUA (2) mata pelajaran berikut : • Matematik • Fizik / Kimia / Biologi / Matematik Tambahan / Pengajian Kejuruteraan Elektrik & Elektronik / Pengajian Kejuruteraan Mekanikal / Pengajian Kejuruteraan Awam / Lukisan Kejuruteraan ATAU Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Matematik Mendapat sekurang-kurangnya Gred B dalam DUA (2) mata pelajaran berikut : • Sains • Sains Tambahan / Pertanian / Sains Sukan / Grafik Komunikasi Teknikal / Asas Kelestarian / Reka Cipta / Sains Komputer / Pendawaian Domestik / Menservis Peralatan Elektrik Domestik
106,DIPLOMA KEJURUTERAAN ELEKTRIK,Universiti Teknikal Malaysia Melaka,UC4522001,2026,75.09,Tidak,Ya,Tidak,STEM A atau B,Diploma,Konvensional,06 Semester,0712 Kuasa Elektrik Dan Tenaga,Tidak,Tidak,Tidak Berkenaan,,,,C,,,,,,,,C,2,Fizik|Kimia|Biologi|Sains|Sains Tambahan|Asas Kelestarian|Pengajian Kejuruteraan Mekanikal|Pengajian Kejuruteraan Elektrik & Elektronik|Pengajian Kejuruteraan Awam|Lukisan Kejuruteraan|Reka Cipta|Sains Komputer|Grafik Komunikasi Teknikal,E,1,Matematik Tambahan,E,1,Bahasa Inggeris,,,,,,,,,,,,,,,,,,Tidak,,Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. DUA (2) C dalam mana-mana matapelajaran yang belum dikira.,Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Matematik. Mendapat sekurang-kurangnya Gred C dalam DUA (2) mata pelajaran berikut : • Fizik • Kimia • Biologi • Sains • Sains Tambahan • Asas Kelestarian • Pengajian Kejuruteraan Mekanikal / Pengajian Kejuruteraan Elektrik & Elektronik / Pengajian Kejuruteraan Awam • Lukisan Kejuruteraan • Reka Cipta • Sains Komputer • Grafik Komunikasi Teknikal Mendapat sekurang-kurangnya Gred E dalam SATU (1) mata pelajaran berikut : • Matematik Tambahan Mendapat sekurang-kurangnya Gred E dalam SATU (1) mata pelajaran berikut : • Bahasa Inggeris
107,DIPLOMA KEJURUTERAAN ELEKTRIK,Universiti Malaysia Perlis,UR4522001,2026,73.02,Tidak,Ya,Tidak,"STEM A, B atau C",Diploma,Konvensional,06 Semester,0712 Kuasa Elektrik Dan Tenaga,Tidak,Tidak,Tidak Berkenaan,,E,,C,,,,,,,,C,1,Fizik|Kimia|Biologi|Pengajian Kejuruteraan Mekanikal|Pengajian Kejuruteraan Awam|Pengajian Kejuruteraan Elektrik & Elektronik|Asas Kelestarian|Lukisan Kejuruteraan|Grafik Komunikasi Teknikal|Reka Cipta|Sains|Sains Tambahan|Sains Komputer|Pendawaian Domestik,,,,,,,,,,,,,,,,,,,,,,,,Tidak,,Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. DUA (2) C dalam mana-mana matapelajaran yang belum dikira.,Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Matematik. Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Fizik / Kimia / Biologi / Pengajian Kejuruteraan Mekanikal / Pengajian Kejuruteraan Awam / Pengajian Kejuruteraan Elektrik & Elektronik / Asas Kelestarian / Lukisan Kejuruteraan / Grafik Komunikasi Teknikal / Reka Cipta / Sains / Sains Tambahan / Sains Komputer / Pendawaian Domestik Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Inggeris.
108,DIPLOMA KEJURUTERAAN ELEKTRIK & ELEKTRONIK,Politeknik,FB4522004,2026,56.73,Tidak,Ya,Tidak,Semua Pakej,Diploma,Konvensional,06 Semester,0712 Kuasa Elektrik Dan Tenaga,Tidak,Tidak,Tidak Berkenaan,E,E,E,C,,,,,,,,C,1,Sains|Matematik Tambahan|Fizik|Kimia|Biologi|Sains Tambahan|Pengajian Kejuruteraan Awam|Pengajian Kejuruteraan Mekanikal|Pengajian Kejuruteraan Elektrik & Elektronik|Lukisan Kejuruteraan|Sains Komputer|Grafik Komunikasi Teknikal|Reka Bentuk Grafik Digital|Pembinaan Domestik|Kerja Paip Domestik|Pendawaian Domestik|Kimpalan Arka Dan Gas|Menservis Automobil|Menservis Motosikal|Menservis Peralatan Penyejukan & Penyamanan Udara|Menservis Peralatan Elektrik Domestik|Pembuatan Perabot|Produksi Reka Tanda|Hiasan Dalaman|Seni Halus 2d|Reka Bentuk Grafik|Reka Bentuk Kraf|Seni Halus 3d|Reka Bentuk Industri|Lukisan|Reka Cipta|Pendidikan Seni Visual|Pertanian|Akuakultur & Haiwan Rekreasi|Produksi Multimedia|Tanaman Makanan|Sains Sukan|Multimedia Kreatif,,,,,,,,,,,,,,,,,,,,,,,,Tidak,,Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred E bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. TIGA (3) C dalam mana-mana matapelajaran yang belum dikira.,Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Sejarah. Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Matematik. Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Sains / Matematik Tambahan / Fizik / Kimia / Biologi / Sains Tambahan / Pengajian Kejuruteraan Awam / Pengajian Kejuruteraan Mekanikal / Pengajian Kejuruteraan Elektrik & Elektronik / Lukisan Kejuruteraan / Sains Komputer / Grafik Komunikasi Teknikal / Reka Bentuk Grafik Digital / Pembinaan Domestik / Kerja Paip Domestik / Pendawaian Domestik / Kimpalan Arka Dan Gas / Menservis Automobil / Menservis Motosikal / Menservis Peralatan Penyejukan & Penyamanan Udara / Menservis Peralatan Elektrik Domestik / Pembuatan Perabot / Produksi Reka Tanda / Hiasan Dalaman / Seni Halus 2d / Reka Bentuk Grafik / Reka Bentuk Kraf / Seni Halus 3d / Reka Bentuk Industri / Lukisan / Reka Cipta / Pendidikan Seni Visual / Pertanian / Akuakultur & Haiwan Rekreasi / Produksi Multimedia / Tanaman Makanan / Sains Sukan / Multimedia Kreatif Mendapat sekurang-kurangnya Gred C dalam mana-mana SATU (1) mata pelajaran
109,DIPLOMA KEJURUTERAAN ELEKTRIK & INSTRUMENTASI,Politeknik,FB4522005,2026,53.61,Tidak,Ya,Tidak,Semua Pakej,Diploma,Konvensional,06 Semester,0712 Kuasa Elektrik Dan Tenaga,Tidak,Tidak,Tidak Berkenaan,E,E,E,E,,,,,,,,C,1,Sains|Matematik Tambahan|Fizik|Kimia|Biologi|Sains Tambahan|Pengajian Kejuruteraan Awam|Pengajian Kejuruteraan Mekanikal|Pengajian Kejuruteraan Elektrik & Elektronik|Lukisan Kejuruteraan|Sains Komputer|Grafik Komunikasi Teknikal|Reka Bentuk Grafik Digital|Pembinaan Domestik|Kerja Paip Domestik|Pendawaian Domestik|Kimpalan Arka Dan Gas|Menservis Automobil|Menservis Motosikal|Menservis Peralatan Penyejukan & Penyamanan Udara|Menservis Peralatan Elektrik Domestik|Pembuatan Perabot|Produksi Reka Tanda|Hiasan Dalaman|Seni Halus 2d|Reka Bentuk Grafik|Reka Bentuk Kraf|Seni Halus 3d|Reka Bentuk Industri|Lukisan|Reka Cipta|Pendidikan Seni Visual|Pertanian|Akuakultur & Haiwan Rekreasi|Produksi Multimedia|Tanaman Makanan|Sains Sukan|Multimedia Kreatif,,,,,,,,,,,,,,,,,,,,,,,,Tidak,,Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred E bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. TIGA (3) C dalam mana-mana matapelajaran yang belum dikira.,Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Sejarah. Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Matematik. Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Sains / Matematik Tambahan / Fizik / Kimia / Biologi / Sains Tambahan / Pengajian Kejuruteraan Awam / Pengajian Kejuruteraan Mekanikal / Pengajian Kejuruteraan Elektrik & Elektronik / Lukisan Kejuruteraan / Sains Komputer / Grafik Komunikasi Teknikal / Reka Bentuk Grafik Digital / Pembinaan Domestik / Kerja Paip Domestik / Pendawaian Domestik / Kimpalan Arka Dan Gas / Menservis Automobil / Menservis Motosikal / Menservis Peralatan Penyejukan & Penyamanan Udara / Menservis Peralatan Elektrik Domestik / Pembuatan Perabot / Produksi Reka Tanda / Hiasan Dalaman / Seni Halus 2d / Reka Bentuk Grafik / Reka Bentuk Kraf / Seni Halus 3d / Reka Bentuk Industri / Lukisan / Reka Cipta / Pendidikan Seni Visual / Pertanian / Akuakultur & Haiwan Rekreasi / Produksi Multimedia / Tanaman Makanan / Sains Sukan / Multimedia Kreatif Mendapat sekurang-kurangnya Gred C dalam mana-mana DUA (2) mata pelajaran
110,DIPLOMA KEJURUTERAAN ELEKTRIK (ELEKTRONIK),Universiti Teknologi Mara,UE4523001,2026,67.33,Tidak,Ya,Ya,"STEM A, B atau C",Diploma,Konvensional,06 Semester,0713 Elektronik Dan Automasi,Tidak,Tidak,"BAGI PILIHAN MATA PELAJARAN PADA SYARAT NO (5), MESTILAH MATA PELAJARAN YANG BELUM DIAMBIL KIRA PADA SYARAT NO (4) .",,D,,C,D,,,,,,,C,1,Sains Sukan|Fizik|Pertanian|Pengajian Kejuruteraan Elektrik & Elektronik|Sains Tambahan|Grafik Komunikasi Teknikal|Sains Komputer|Biologi|Pengajian Kejuruteraan Awam|Sains|Kimia|Reka Cipta|Pengajian Kejuruteraan Mekanikal|Asas Kelestarian|Lukisan Kejuruteraan,D,2,Asas Kelestarian|Biologi|Fizik|Kimia|Grafik Komunikasi Teknikal|Lukisan Kejuruteraan|Pengajian Kejuruteraan Awam|Pengajian Kejuruteraan Elektrik & Elektronik|Pengajian Kejuruteraan Mekanikal|Pertanian|Reka Cipta|Sains Komputer|Sains Sukan|Sains Tambahan|Sains|Geografi|Prinsip Perakaunan|Ekonomi|Perniagaan|Pengajian Keusahawanan|Pendidikan Seni Visual,,,,,,,,,,,,,,,,,,,,,Tidak,,Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. DUA (2) C dalam mana-mana matapelajaran yang belum dikira.,"Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Matematik. Mendapat sekurang-kurangnya Gred D dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred D dalam mata pelajaran Matematik Tambahan. Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Sains Sukan / Fizik / Pertanian / Pengajian Kejuruteraan Elektrik & Elektronik / Sains Tambahan / Grafik Komunikasi Teknikal / Sains Komputer / Biologi / Pengajian Kejuruteraan Awam / Sains / Kimia / Reka Cipta / Pengajian Kejuruteraan Mekanikal / Asas Kelestarian / Lukisan Kejuruteraan Mendapat sekurang-kurangnya Gred D dalam DUA (2) mata pelajaran berikut : • Asas Kelestarian • Biologi • Fizik • Kimia • Grafik Komunikasi Teknikal • Lukisan Kejuruteraan • Pengajian Kejuruteraan Awam • Pengajian Kejuruteraan Elektrik & Elektronik • Pengajian Kejuruteraan Mekanikal • Pertanian • Reka Cipta • Sains Komputer • Sains Sukan • Sains Tambahan • Sains • Geografi / Prinsip Perakaunan / Ekonomi / Perniagaan / Pengajian Keusahawanan / Pendidikan Seni Visual Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja."
111,DIPLOMA KEJURUTERAAN ELEKTRIK (KECEKAPAN TENAGA),Politeknik,FB4522001,2026,57.01,Tidak,Ya,Tidak,Semua Pakej,Diploma,Konvensional,06 Semester,0712 Kuasa Elektrik Dan Tenaga,Tidak,Tidak,Tidak Berkenaan,E,E,E,C,,,,,,,,C,1,Sains|Matematik Tambahan|Fizik|Kimia|Biologi|Sains Tambahan|Pengajian Kejuruteraan Awam|Pengajian Kejuruteraan Mekanikal|Pengajian Kejuruteraan Elektrik & Elektronik|Lukisan Kejuruteraan|Sains Komputer|Grafik Komunikasi Teknikal|Reka Bentuk Grafik Digital|Pembinaan Domestik|Kerja Paip Domestik|Pendawaian Domestik|Kimpalan Arka Dan Gas|Menservis Automobil|Menservis Motosikal|Menservis Peralatan Penyejukan & Penyamanan Udara|Menservis Peralatan Elektrik Domestik|Pembuatan Perabot|Produksi Reka Tanda|Hiasan Dalaman|Seni Halus 2d|Reka Bentuk Grafik|Reka Bentuk Kraf|Seni Halus 3d|Reka Bentuk Industri|Lukisan|Reka Cipta|Pendidikan Seni Visual|Pertanian|Akuakultur & Haiwan Rekreasi|Produksi Multimedia|Tanaman Makanan|Sains Sukan|Multimedia Kreatif,,,,,,,,,,,,,,,,,,,,,,,,Tidak,,Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred E bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. TIGA (3) C dalam mana-mana matapelajaran yang belum dikira.,Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Sejarah. Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Matematik. Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Sains / Matematik Tambahan / Fizik / Kimia / Biologi / Sains Tambahan / Pengajian Kejuruteraan Awam / Pengajian Kejuruteraan Mekanikal / Pengajian Kejuruteraan Elektrik & Elektronik / Lukisan Kejuruteraan / Sains Komputer / Grafik Komunikasi Teknikal / Reka Bentuk Grafik Digital / Pembinaan Domestik / Kerja Paip Domestik / Pendawaian Domestik / Kimpalan Arka Dan Gas / Menservis Automobil / Menservis Motosikal / Menservis Peralatan Penyejukan & Penyamanan Udara / Menservis Peralatan Elektrik Domestik / Pembuatan Perabot / Produksi Reka Tanda / Hiasan Dalaman / Seni Halus 2d / Reka Bentuk Grafik / Reka Bentuk Kraf / Seni Halus 3d / Reka Bentuk Industri / Lukisan / Reka Cipta / Pendidikan Seni Visual / Pertanian / Akuakultur & Haiwan Rekreasi / Produksi Multimedia / Tanaman Makanan / Sains Sukan / Multimedia Kreatif Mendapat sekurang-kurangnya Gred C dalam mana-mana SATU (1) mata pelajaran
